tiêu đề,link truyện,thể loại,mô tả,link ảnh
Chế Ngự Kiếm,https://goctruyentranhvui16.com/truyen/che-ngu-kiem,"Manhwa, Phiêu Lưu, Hành Động, Võ Thuật","Nhân vật chính của truyện luôn được định trước. Dù nhân vật phụ có cố gắng bao nhiêu thì vẫn chỉ là nhân vật phụ mà thôi. Nhưng một ngày điều đó đã thay đổi. [Leon, ngươi nghĩ mình đủ khả năng sao?] Kiếm thánh đáng ra phải chọn người hùng trong lời tiên tri lại về tay hắn. Gì cơ? Bạn bất tài, nghèo khó và chẳng có ai chống lưng á? Đừng lo! Người hùng với thanh kiếm thánh có thể giải quyết mọi chuyện tới rồi đây! “...Có một khoảng thời gian ta cũng nghĩ như vậy. ” Đây là nơi bắt đầu của hành trình người hùng của Leon.",https://goctruyentranhvui16.com/image/che-ngu-kiem-0000201101-05-06-2022/1ODb68XC_D3il9Le8LiTKE_8SaLkRdKku?code=gtt-yes
Phản Diện Tóc Vàng Trong Tiểu Thuyết Phượng Ngạo Thiên Cũng Muồn Hạnh Phúc,https://goctruyentranhvui16.com/truyen/phan-dien-toc-vang-trong-tieu-thuyet-phuong-ngao-thien-cung-muon-hanh-phuc,"Drama, Phiêu Lưu, Hành Động, Hài Hước, Manhwa",Updating,https://goctruyentranhvui16.com/image/phan-dien-toc-vang-trong-tieu-thuyet-phuong-ngao-thien-cung-muon-hanh-phuc-0000943589-28-02-2025/1mo01dap0QdNCBUrehMgCG3FbiQUyYztS?code=gtt-yes
Xích Nguyệt,https://goctruyentranhvui16.com/truyen/xich-nguyet,"Hành Động, Drama, Manhwa, Huyền Bí","Tổ chức tuyệt đối “Xích Nguyệt”, huy động các thành viên với sức mạnh của glia, một loại siêu năng lực, khiến ngay cả tổng thống cũng phải quỳ gối! Đất nước này đã trở thành 'Đất nước của Xích Nguyệt'. Chính phủ đang tìm cách tiêu diệt Xích Nguyệt, cội rễ của cái ác. Một người có tiềm năng tương đương với Shin Young-woo, chủ tịch của Xích Nguyệt. Họ phát hiện ra Ryu Si-hwan và phát triển một loại thuốc mới sử dụng máu của anh ấy để trở nên trẻ hơn. Với loại thuốc mới đó, chủ nhân cũ đã dồn Shin Young-woo vào quá khứ và thế hệ thứ 4 của những kẻ bất lương, trở lại thời trẻ của mình. Liệu những kẻ bất lương thế hệ thứ 4 có thể nâng cao tiềm năng của Ryu Si-hwan và phá hủy Xích Nguyệt?",https://goctruyentranhvui16.com/image/xich-nguyet-0000161003-04-04-2022/18_1otRWr-1WiOISTVHOS2OX55e8b1_uO?code=gtt-yes
Debut Or Die,https://goctruyentranhvui16.com/truyen/debut-or-die,"Drama, Manhwa, Webtoons",Updating,https://goctruyentranhvui16.com/image/debut-or-die-0000933078-21-02-2025/1vgIshaVl4kn7muXivycuH5W3Hq4KTKh7?code=gtt-yes
Sức Mạnh Tối Đa? Ta Lại Là Vong Linh Sư!,https://goctruyentranhvui16.com/truyen/suc-manh-toi-da--ta-lai-la-vong-linh-su-,"Phiêu Lưu, Huyền Bí, Manhua, Hành Động","Kiều Du tiến vào vũ trụ thứ nguyên đạt được chức nghiệp bí ẩn là ""Vong Linh Sư"". Tuy nhiên, tại điểm xuất phát, cả trí lực và tinh thần của Kiều Du đều bằng 0, và anh ta còn có một tài năng rất kỳ quặc. Kiều Du phẫn nộ đã tăng hết điểm thuộc tính vào Sức mạnh! Ai nói ""Vong Linh Sư"" không thể đối mặt trực tiếp với người chơi? Nhìn xem Kiều Du một đấm chết Mộng Xà đến từ thế giới khác, những người chơi trong thế giới đó đều điên cuồng. Anh trai à, xin đừng đối đầu trực tiếp với người chơi nữa! Anh là một ""Vong Linh Sư"" đó! Xin anh hãy triệu hồi một linh hồn đi!",https://goctruyentranhvui16.com/image/suc-manh-toi-da--ta-lai-la-vong-linh-su--0000836360-06-12-2024/1Bv1uHwc2AW-w04zfdL0ACx17N1hupuTw?code=gtt-yes
"Khởi Đầu Vật Giá Sụt Giảm, Ta Trở Thành Nhà Giàu Số Một Thế Giới!",https://goctruyentranhvui16.com/truyen/khoi-dau-vat-gia-sut-giam--ta-tro-thanh-nha-giau-so-mot-the-gioi-,"Manhua, Huyền Bí, Hài Hước, Phiêu Lưu, Hành Động","Một giấc ngủ dậy, thế giới đã thay đổi! Toàn bộ giá cả trên thế giới giảm xuống một triệu lần, chỉ riêng số tiền của tôi vẫn giữ nguyên giá trị ban đầu, khiến tôi sở hữu tài sản vượt qua cả người giàu nhất thế giới! Nhiều tiền như vậy thì phải tiêu như thế nào đây…",https://goctruyentranhvui16.com/image/khoi-dau-vat-gia-sut-giam--ta-tro-thanh-nha-giau-so-mot-the-gioi--0000976746-22-03-2025/1tOcjTUgw4zyjmsC3P2thIL15bqkJS8TS?code=gtt-yes
Nguyên Lai Ta Là Tu Tiên Đại Lão,https://goctruyentranhvui16.com/truyen/nguyen-lai-ta-la-tu-tien-dai-lao,"Hài Hước, Võ Thuật, Hành Động, Manhua, Trùng Sinh, Phiêu Lưu","Từ một thế giới tu tiên đang trên đà xuống dốc , sự xuất hiện của hắn giống như thổi một làn sức sống mới ngăn chặn sự xuống dốc đó . Từ sau đại kiếp , Long môn , Địa Phủ , Thiên Cung bị phong bế đều bởi vì hắn mà lần lượt mở ra ... Truyện đi từ từ dần dần mang đậm phong cách hài hước , tuy cũng có sạn nhưng cũng không phải nhiều bởi mỗi thế giới là của một tác giả tạo nên cho nên chẳng có ai có thể định đúng sai , tác giả có khác gì thiên đạo , truyện này mang tính giải trí cực cao , đủ để các đạo hữu đọc tới xuyên đêm .",https://goctruyentranhvui16.com/image/nguyen-lai-ta-la-tu-tien-dai-lao-0000113945-09-01-2022/1MSuAPjWDpVMZ057vRjfJZMkDa3QO4dzq?code=gtt-yes
Xích Tâm Tuần Thiên,https://goctruyentranhvui16.com/truyen/xich-tam-tuan-thien,"Manhua, Võ Thuật, Phiêu Lưu, Hành Động","Khương Vọng bị huynh đệ kết nghĩa phản bội, đánh cắp thứ hắn đã dùng máu và mồ hôi đổi lại để mở mạch đan. Tại thời khắc sắp chết, kế thừa di vật Sở quốc thiên kiêu Tả Quang Liệt , mở ra đạo mạch đi lên con đường tu hành. Từng có mê mang, bàng hoàng nhưng trong lòng luôn có một điểm sáng, đó chính là một viên xích tử chi tâm.Thời đại thượng cổ, Yêu tộc đã tuyệt tích. Thời đại cận cổ, Long tộc cũng biến mất. Thần đạo đang thịnh, nhưng giờ đây mọi thứ đã như khói bay, phi kiếm đỉnh cao nhất thời đại cuối cùng rơi vào trầm luân... Thế giới này xảy ra chuyện gì? Cái sự thật mai táng trong dòng sông thời gian, ai sẽ đến lắng nghe? Núi sông ngàn dặm chôn vùi thây, càn khôn trăm năm tô lại cảnh hổ đói. Thiên địa chí công như vô tình, ta có một viên xích tâm, lấy tuần thiên!Cảnh giới tu luyện chia làm 9 cấp, bắt đầu từ cửu phẩm thấp nhất:Du Mạch cảnh (Cửu phẩm) -> Chu Thiên cảnh (Bát phẩm) -> Thông Thiên cảnh (Thất phẩm) -> Đằng Long cảnh (Lục phẩm) -> Nội Phủ cảnh (Ngũ phẩm) -> Ngoại Lâu cảnh (Tứ phẩm) -> Thần Lâm cảnh (Tam phẩm) -> Động Chân cảnh (Nhị phẩm) -> Diễn Đạo cảnh (Nhất phẩm) => Siêu Thoát.Diễn Đạo cảnh chia thành: Không có Đạo chất => có Đạo chất => tiếp cận Siêu Thoát (Thánh cấp).",https://goctruyentranhvui16.com/image/xich-tam-tuan-thien-0000986463-29-03-2025/1LdfwoTtw_zmNHbdjFRmfHxLtUG4G9bNL?code=gtt-yes
Xin Hãy Đọc,https://goctruyentranhvui16.com/truyen/xin-hay-doc,"Huyền Bí, Phiêu Lưu, Manhwa",Tôi đã được tái sinh thành một cuốn sách ma thuật với tất cả kiến thức ma thuật của thế giới này. Bất kỳ ai cũng có thể trở thành một pháp sư vĩ đại huyền thoại với sự giúp đỡ của tôi. Hãy đọc tôi và tôi sẽ trao cho bạn sức mạnh vô tận.,https://goctruyentranhvui16.com/image/xin-hay-doc-0000671212-30-08-2024/1TN9I2EJUTDTf-PYDH0OXHc3G3eFB4JxY?code=gtt-yes
Toàn Dân Chuyển Chức: Ngự Long Sư Là Chức Nghiệp Yếu Nhất?,https://goctruyentranhvui16.com/truyen/toan-dan-chuyen-chuc--ngu-long-su-la-chuc-nghiep-yeu-nhat-,"Hành Động, Manhua, Phiêu Lưu, Huyền Bí","Hiện thực kết hợp trò chơi, hung thú hoành hành, bí cảnh, phó bản vô số. Vì chống cự hung thú xâm nhập, mỗi người đều sẽ tiến hành chuyển chức, điên cuồng thăng cấp. Lục Phàm ở ngày chuyển chức, trở thành Ngự Long sư - một nghề nghiệp ẩn. Nhưng bởi vì cự long quá mạnh, không có khả năng có người có thể thuần hóa cự long, bởi vậy ngự Long sư được gọi là nghề nghiệp phế nhất . May mà, hắn đã thức tỉnh siêu cấp tàng bảo đồ hệ thống, Khi Lục Phàm mang theo cự long quét ngang hết thảy , toàn bộ thế giới đều run rẩy.",https://goctruyentranhvui16.com/image/toan-dan-chuyen-chuc--ngu-long-su-la-chuc-nghiep-yeu-nhat--0000559852-22-06-2024/1HdfDgGNkEsj3cONkwudxqNABX-lYD8YQ?code=gtt-yes
Làm Ơn Dừng Đức Giáo Hoàng Lại,https://goctruyentranhvui16.com/truyen/lam-on-dung-duc-giao-hoang-lai,"Manhwa, Phiêu Lưu, Hành Động","Tôi là giáo hoàng, và đã dành 10 năm để cứu thế giới khỏi bờ vực diệt vong. Tôi đã đối mặt và vượt qua cái chết vô số lần để cứu thế giới và hầu như không trở về Trái đất, nhưng sau đó... [Cảnh báo! Nếu bạn không đạt được số lượng tín đồ cần thiết trong 90 ngày, hệ thống của bạn sẽ khởi động lại!] ""... Xin lỗi?"" ""Vâng?"" ""... Tôi đến để truyền bá lời của Chúa.""",https://goctruyentranhvui16.com/image/lam-on-dung-duc-giao-hoang-lai-0000851032-26-12-2024/1XBuK9Bb6d0aTUZZ1DAMBKp1hDAnDzZMf?code=gtt-yes
Vương Triều Đen Tối Joseon,https://goctruyentranhvui16.com/truyen/vuong-trieu-den-toi-joseon,"Lịch Sử, Huyền Bí, Manhwa, Trùng Sinh","Một người cuồng tín về quân sự, steampunk và nhiều thứ khác đã được trọng sinh. Nhưng cha của hắn là Sejong Đại Vương? Vị vua thông thái và đứa con điên cuồng, cùng các quan đại thần luôn chia rẽ nội bộ. Thậm chí ngày nay, đêm Joseon vẫn tràn ngập ánh sáng của thời gian",https://goctruyentranhvui16.com/image/vuong-trieu-den-toi-joseon-0000518442-23-04-2024/1rlekBMaxHEAjMQvaFmsPULSCqev-ygE-?code=gtt-yes
Đứa Trẻ Rắc Rối Của Ma Tháp,https://goctruyentranhvui16.com/truyen/dua-tre-rac-roi-cua-ma-thap,"Phiêu Lưu, Hành Động, Manhwa, Huyền Bí","Chủ nhân của tháp ma thuật trắng, Oscar Sage, và các pháp sư của họ đã hy sinh mọi thứ—kể cả mạng sống của họ—vì tương lai của nhân loại. 20 năm đã trôi qua, và Oscar Sage mở mắt ra và thấy hình ảnh phản chiếu của chính mình trong gương—một pháp sư cấp độ 1 chỉ có thể sử dụng các phép thuật cơ bản—và một Tháp Ma thuật Trắng hiện đang có nguy cơ bị Liên minh Bốn tòa tháp ruồng bỏ. Thề sẽ khôi phục lại Tháp Ma thuật Trắng về vinh quang trước đây, chủ nhân tháp Oscar trở về bắt đầu cuộc sống thứ hai của mình. Phân kỳ",https://goctruyentranhvui16.com/image/dua-tre-rac-roi-cua-ma-thap-0000987966-30-03-2025/1d_egbN8LcYFZPa1PMjX1uPvyRMlxYhVe?code=gtt-yes
Helmut-Đứa Trẻ Bị Lãng Quên,https://goctruyentranhvui16.com/truyen/helmut-dua-tre-bi-lang-quen,"Manhwa, Hành Động, Huyền Bí, Phiêu Lưu","Cùng Studio bộ truyện [NGƯỜI CHƠI KHÔNG THỂ THĂNG CẤP] Helmut là một đứa trẻ đã bị bỏ rơi trong Khu rừng Ma thú khi mới sinh. Được nuôi dưỡng bởi Ma Thú, con người đầu tiên mà anh gặp là Kiếm Thánh Darien. Helmut không biết rằng cuộc gặp gỡ tình cờ này sẽ sớm làm thay đổi cả số phận của anh… “Hãy Mạnh Mẽ hơn nếu muốn thoát khỏi đây.” Cậu bé đã sống như một con thú bị ném vào thế giới loài người! Cậu sở hữu kiếm thuật áp đảo, ngoại hình xuất chúng và trí thông minh sắc sảo, nhưng có một thứ cậu thiếu: nhân tính. Tôi không còn là con mồi. Tôi bây giờ là một kẻ săn mồi!",https://goctruyentranhvui16.com/image/helmut--dua-tre-bi-lang-quen-0000277098-01-09-2022/1UwjYndOQxlSSO-3CH04tfXCyfxGq64jK?code=gtt-yes
Sự Trở Lại Của Đại Pháp Sư,https://goctruyentranhvui16.com/truyen/su-tro-lai-cua-dai-phap-su,"Viễn Tưởng, Manhwa, Phiêu Lưu","Henry Morris là một phù thủy 8 vòng, là một huyền thoại - một trong những người cha sáng lập đã giúp bạn mình trở thành vua của một đế chế thống nhất. Sau khi con trai lên ngôi, Henry bị xử tử với cáo buộc sai lầm là lãnh đạo một cuộc nổi dậy chống lại đế quốc. Sau đó, anh tỉnh dậy trong cơ thể của Henry Morris trẻ tuổi, con cả của một gia đình nam tước, người cũng trùng tên. Henry xoay chuyển cuộc sống của mình bằng cách một lần nữa học lại phép thuật và cả kiếm thuật để trở thành kiếm sĩ ma thuật đầu tiên, tất cả chỉ vì mục đích trả thù.",https://goctruyentranhvui16.com/image/su-tro-lai-cua-dai-phap-su-0000073916-29-08-2021/1xcmj_ch0QhaXvzd1zEtTRl1q8J0lwann?code=gtt-yes
Thiên Qua Thư Khố Đại Công Tử,https://goctruyentranhvui16.com/truyen/thien-qua-thu-kho-dai-cong-tu,"Manhwa, Murim, Võ Thuật, Hành Động, Phiêu Lưu","Một ngày nọ, linh hồn của Thủ lĩnh Liên minh Murim quyến rũ và uy nghiêm, Hu Gong, đột nhiên chiếm hữu cơ thể của một chàng trai trẻ. Chàng thanh niên đó tên là Beom Hang. Anh ta là chủ nhân trẻ tuổi của 'Thiên đại lục', một trong ba kho lưu trữ lớn của jianghu, nhưng lại là một cái cớ xin lỗi của một người. Để xác định lý do tại sao linh hồn của mình lại hoán đổi thân xác, Hu Gong bắt đầu huấn luyện cơ thể của Beom Hang. Khi chủ nhân trẻ tuổi bị chiếm hữu của Thiên Đại Lưu Trữ hoàn toàn khác với trước đây, nó bắt đầu thu hút sự chú ý của giang hồ…",https://goctruyentranhvui16.com/image/thien-qua-dai-cong-tu-0000374796-05-02-2023/1O65Qahot1bPvEYSzUmNM3zRKP98gNy7f?code=gtt-yes
Học Nhóm,https://goctruyentranhvui16.com/truyen/hoc-nhom,"Drama, Võ Thuật, Webtoons, Học Đường","Gamin Yoon, một học sinh 17 tuổi, đến một trường học được biết đến là nơi chứa đựng những tên tội phạm trong tương lai. Bị mắc kẹt trong một môi trường ăn thịt, nơi chỉ có những kẻ mạnh nhất sống sót, anh phải vật lộn để đạt được điểm cao để vào một trường đại học 4 năm. Nhưng, liệu anh ấy có thể học đủ tốt để vào đại học",https://goctruyentranhvui16.com/image/hoc-nhom-0000045378-05-05-2021/1GinpfT6LEbyfxrQfrAqsANhkB0pTgaLf?code=gtt-yes
Cửa Hàng Diệu Kỳ,https://goctruyentranhvui16.com/truyen/cua-hang-dieu-ky,"Phiêu Lưu, Hài Hước, Manhwa, Siêu Nhiên, Hành Động","Nhân vật chính Chan, người đang tìm kiếm một công việc bán thời gian sau khi công ty trước đây của anh phá sản, tình cờ phát hiện ra một cửa hàng tiện lợi. Bị thu hút bởi mức lương theo giờ rất cao, anh quyết định trở thành một nhân viên bán thời gian từ ngày đó. Nhưng những khách hàng đến đây có vẻ hơi kỳ lạ. Ma cà rồng, kobold, và thậm chí cả succubi??",https://goctruyentranhvui16.com/image/cua-hang-dieu-ky-0000653535-21-08-2024/1cDFB5_KpQbBfh5phUwHuzkq6AsAakO2R?code=gtt-yes
Thiên Tài Bình Dị,https://goctruyentranhvui16.com/truyen/thien-tai-binh-di,"Drama, Hài Hước, Lãng Mạn, Manhwa",Updating,https://goctruyentranhvui16.com/image/thien-tai-binh-di-0000877458-13-01-2025/1dr4bEC8SnEupgK8EazF-L02vHC0etYqO?code=gtt-yes
Đại Tướng Quân,https://goctruyentranhvui16.com/truyen/dai-tuong-quan,"Hành Động, Võ Thuật, Manhwa, Shounen, Phiêu Lưu","""Dừng lại ở đó, Đại tướng!"" Bậc thầy Toàn trí, cố vấn của Hoàng đế và là thầy của Đội cận vệ Hoàng gia. Anh ấy có một con đường để đi theo ngay cả khi điều đó có nghĩa là từ bỏ danh hiệu người mạnh nhất trong lịch sử. Anh ta vừa đi vừa bị trúng gió. Dáng vẻ già nua và mái tóc bạc trắng của anh giờ không còn thấy nữa. Tất cả những gì còn lại là một người đàn ông trẻ với mái tóc đen nhánh! ""Tôi tên là Lee Gwol."" Tôi sẽ không bị hạn chế. Tôi sẽ lang thang khắp thế giới như một cơn gió. Mùi trà sẽ tẩy sạch thế giới đẫm máu. Người cai trị không thể uốn nắn. Chứng kiến con đường của Đại tướng quân, Lee Gwol!",https://goctruyentranhvui16.com/image/dai-tuong-quan-0000105870-18-12-2021/1xzI0f4PAXswNgn2WHyxQa1_Z5Wv18vIy?code=gtt-yes
Nền Văn Minh Nebula,https://goctruyentranhvui16.com/truyen/nen-van-minh-nebula,"Manhwa, Phiêu Lưu, Hành Động","Choi Seong-woon, đạt thứ hạng cao nhất trong trò chơi “Lost World”, hoàn thành xuất sắc mọi thành tích của trò chơi. Tuy nhiên, niềm vui chẳng kéo dài được bao lâu khi anh nhận được một email đáng ngờ và được triệu hồi đến “Lost World” thực sự, nơi anh dấn thân vào cuộc thi để trở thành một “vị thần”.",https://goctruyentranhvui16.com/image/nen-van-minh-nebula-0000477892-17-12-2023/1SC5_0-7Z0Wlvm702mou3mNFU2CtPjRfz?code=gtt-yes
Mạo Hiểm Giả Cuối Cùng,https://goctruyentranhvui16.com/truyen/mao-hiem-gia-cuoi-cung,"Hành Động, Manhwa, Trùng Sinh, Phiêu Lưu, Huyền Bí","Cánh cổng mở ra và kỷ nguyên phiêu lưu bắt đầu. Đó là thời điểm mọi thứ sụp đổ, kéo theo thời kỳ sợ hãi, tuyệt vọng và đau khổ. Nó đã trở thành một thời đại mà mọi người đều từ bỏ việc cố gắng chống trả. Tuy nhiên, có một nhà thám hiểm đã cố gắng đến cùng. “Anh là người duy nhất còn lại, El Paume. Bạn là nhà thám hiểm cuối cùng.” Thời điểm kỷ nguyên phiêu lưu kết thúc, nhà thám hiểm cuối cùng đã đưa toàn bộ câu chuyện trở lại điểm xuất phát.",https://goctruyentranhvui16.com/image/mao-hiem-gia-cuoi-cung-0000512383-02-04-2024/1XMDcz9zj6ZgrVjx2GnWazE5iw5HEn-8j?code=gtt-yes
Tôi Bị Hiểu Lầm Là Diễn Viên Thiên Tài Quái Vật,https://goctruyentranhvui16.com/truyen/toi-bi-hieu-lam-la-dien-vien-thien-tai-quai-vat,"Khoa Học, Manhwa, Drama","Kang Woo-jin, một người đàn ông bình thường, bất ngờ phát hiện ra rằng anh có một khả năng độc đáo: bất cứ khi nào anh đọc kịch bản hoặc kịch bản phim, anh có thể bước vào một không gian phụ bí ẩn và nhập vai hoàn toàn vào các nhân vật bên trong. Khi anh đi cùng một người bạn đến buổi thử vai, anh nắm bắt cơ hội để thể hiện kỹ năng diễn xuất phi thường mà anh có được thông qua những trải nghiệm này trong không gian phụ, điều này dẫn đến sự thay đổi trong cuộc đời anh mãi mãi. Đột nhiên, tôi được gọi là một con quái vật khủng khiếp. Thì sao? Tôi chỉ gật đầu đáp lại.",https://goctruyentranhvui16.com/image/toi-bi-hieu-lam-la-dien-vien-thien-tai-quai-vat-0000682824-05-09-2024/17upOqqguTRfrHfQ79Pe70pjQcn1A7GiS?code=gtt-yes
Anh Hùng Huyền Thoại Là Học Viên Danh Dự Của Học Viện,https://goctruyentranhvui16.com/truyen/anh-hung-huyen-thoai-la-hoc-vien-danh-du-cua-hoc-vien,"Phiêu Lưu, Hành Động, Học Đường, Manhwa","Tôi là một anh hùng vĩ đại, vậy tại sao tôi lại là người duy nhất không được ghi chép trong biên niên sử lịch sử? Quay trở lại Thời đại tuyệt vọng, Kyle đã đánh bại Erebos, nguồn gốc của cái ác. Sau đó, 5000 năm sau, anh tái sinh thành Leo với những ký ức về kiếp trước còn nguyên vẹn. Những người đồng đội của anh—The Brave Arron, The Divine Blacksmitsh Dweno, The Poet of the Stars Luna và The Wise King Lysinas—đều được ca ngợi là những anh hùng vĩ đại. Nhưng 'Hero Record', một món quà từ thiên đường ghi lại những thành tựu của các anh hùng qua nhiều thời đại, không có bất kỳ ghi chép nào về Kyle, và những người hiện tại đối xử với anh như một nhân vật hư cấu. Tức giận về thực tế mà anh thấy mình đang ở, Leo đăng ký vào Học viện Lumene, học viện anh hùng lưu giữ Hero Record. ""Được thôi. Tôi đoán mình sẽ trở thành một học sinh danh dự để tìm ra lý do tại sao tôi bị xóa khỏi lịch sử.""",https://goctruyentranhvui16.com/image/anh-hung-huyen-thoai-la-hoc-vien-danh-du-cua-hoc-vien-0000853866-29-12-2024/1V3tSNS7Yfl4F-2q6IdVCDHoV3qrmx1An?code=gtt-yes
Vô Tình Nhập Học,https://goctruyentranhvui16.com/truyen/vo-tinh-nhap-hoc,"Học Đường, Leo Tháp, Phiêu Lưu, Manhwa","Thế còn một trường đại học nơi bạn theo học tại Tháp Babel thì sao? Ban Yoo-won sở hữu khả năng phi thường không chỉ trong việc diễn giải các ngôn ngữ chưa biết mà còn có thể nhìn thấy và tiếp thu ""các khái niệm"" từ những thứ anh quan sát được. Từ nhỏ, ông nội của Yoo-won đã nói với anh: ""Gia đình chúng ta là hậu duệ của tổ tiên đã dẫn dắt mọi người xây dựng Tháp Babel với sức mạnh khiến mọi người giao tiếp. Với sức mạnh được thừa hưởng đó, con sẽ có thể lấy lại được Tháp Babel đã mất"". Lúc đầu, Yoo-won nghĩ đó chỉ là một câu chuyện xa vời. Nhưng trong khi chờ đợi kết quả trúng tuyển vào trường đại học, anh đột nhiên được triệu tập đến một học viện từ một chiều không gian chưa biết. Ở đó, anh chứng kiến Tháp Babel huyền thoại mà anh chỉ nghe nói đến trong các câu chuyện. Được thúc đẩy bởi mong muốn có phần vật chất là lấy lại tòa nhà đã mất của gia đình mình và trở thành chủ sở hữu của nó, cùng với mong muốn chân thành thực hiện ước mơ lâu đời của gia đình, Yoo-won đã vào học viện. Cuối cùng, anh ta bắt đầu leo lên Tháp Babel - một ngục tối đầy rẫy nguy hiểm và quái vật, nơi sức mạnh của các chòm sao và đỉnh cao là sức mạnh của các vị thần đang chờ đợi anh ta!",https://goctruyentranhvui16.com/image/vo-tinh-nhap-hoc-0000799771-01-11-2024/1xrM5eq6WoS72HAD3K1E0jLZw0oSPHW6g?code=gtt-yes
Học Viện Tối Thượng,https://goctruyentranhvui16.com/truyen/hoc-vien-toi-thuong,"Học Đường, Phiêu Lưu, Manhwa, Hành Động, Huyền Bí","SeoJoon, người đã làm việc tiết kiệm để trả món nợ của cha mẹ đã khuất và theo học tại một học viện thợ săn, cuối cùng lại phải dành toàn bộ số tiền tiết kiệm để phẫu thuật do một tai nạn đáng tiếc. Trong khoảnh khắc tuyệt vọng của anh ấy, một thông báo kỳ lạ đã phát ra. [Bạn cũng có thể trở thành một người thức tỉnh!] Anh quyết định đăng ký vì anh không còn gì để mất. [Ông. Kim SeoJoon, chào mừng đến với Học viện Transcension.] Học viện thợ săn này ở một 'chiều không gian' khác với các học viện thợ săn khác! Trong thời đại giáo dục của thợ săn tư nhân, bạn cũng có thể trở thành một 'siêu nhân'!",https://goctruyentranhvui16.com/image/hoc-vien-toi-thuong-0000223858-10-07-2022/1Uwz8EIb8cPS0LVW4CoW4mxudCeOBvpso?code=gtt-yes
Tôi Chỉ Là Người Khuân Vác Trong Hầm Ngục,https://goctruyentranhvui16.com/truyen/toi-chi-la-nguoi-khuan-vac-trong-ham-nguc,"Hành Động, Phiêu Lưu, Manhwa","Một thế giới mà chỉ những người có tài năng bẩm sinh mới có thể trở thành nhà thám hiểm chinh phục ngục tối. Thế giới định nghĩa ""Nagi"" là một người khuân vác không thể trở thành nhà thám hiểm. Nhưng nếu bạn hoàn thành một ngục tối, điều đó không biến bạn thành một nhà thám hiểm sao? Kỹ năng chiến đấu: 0! Khả năng sinh tồn: Cấp độ tối đa! Câu chuyện chinh phục ngục tối của người khuân vác đa năng, Nagi, thách thức số phận!",https://goctruyentranhvui16.com/image/toi-chi-la-nguoi-khuan-vac-trong-ham-nguc-0000887727-21-01-2025/1nAE5kONHxfE6sKv6BP5XyaSKNSy318cv?code=gtt-yes
Kim Chiến Sĩ: Hành Trình Xây Dựng Đặc Tính,https://goctruyentranhvui16.com/truyen/kim-chien-si--hanh-trinh-xay-dung-dac-tinh,"Hài Hước, Hành Động, Phiêu Lưu, Manhwa","Kim Junsu, một game thủ free-to-play (không nạp tiền) top đầu của tựa game mobile ""Arcane Seoul"", bất ngờ bị dịch chuyển vào chính nhân vật hướng dẫn tân thủ trong game - ""Kim Chiến Sĩ""! Giờ đây, cậu phải tìm cách sinh tồn trong thế giới game tàn khốc, nơi kẻ mạnh thống trị. Chìa khóa duy nhất để sống sót chính là kiến thức uyên thâm về game của Junsu, cùng với khả năng thay đổi đặc tính không giới hạn, dù yếu ớt, của Kim Chiến Sĩ.",https://goctruyentranhvui16.com/image/kim-chien-si--hanh-trinh-xay-dung-dac-tinh-0000725990-24-09-2024/1CwTMsrO46CDShJQbIMSKCxwM0yCbRSrk?code=gtt-yes
Nhà Vô Địch Kalli,https://goctruyentranhvui16.com/truyen/nha-vo-dich-kalli,"Hành Động, Phiêu Lưu, Manhwa, Võ Thuật","au khi từ bỏ giấc mơ trở thành võ sĩ quyền anh, Park Kang-tae gia nhập một băng đảng. Anh ta nổi tiếng trong băng đảng nhưng cuối cùng lại bị giết. Anh ấy có một điều hối tiếc khi chết ―Từ bỏ giấc mơ trở thành võ sĩ quyền anh. Chúa có biết sự hối tiếc của anh không? Trong một thế giới nơi quyền anh tồn tại dưới hình thức trò chơi quyền anh, Park Kang-tae theo đuổi giấc mơ chưa thành của mình.",https://goctruyentranhvui16.com/image/nha-vo-dich-kalli-0000467298-03-11-2023/1PZxT1fzNqaVt1r-oGn4hMJhWoOMYKsEG?code=gtt-yes
